config01:Button00:Measurement Value,Reference Value,Threshold,R_THr,Touch ON/OFF Difference,Hysteresis,Status,MEDIAN_9,Average_4,IIR_8,,IIR_16
45801,45912,800,46712,-111,10,0,45845,45813,45845,,45848
45840,45912,800,46712,-72,10,0,45840,45821,45844,,45844
45890,45912,800,46712,-22,10,0,45840,45847,45849,,45846
45939,45912,800,46712,27,10,0,45840,45867,45860,,45854
45881,45912,800,46712,-31,10,0,45859,45887,45862,,45861
45895,45912,800,46712,-17,10,0,45859,45901,45866,,45864
45910,45912,800,46712,-2,10,0,45881,45906,45871,,45868
45804,45912,800,46712,-108,10,0,45881,45872,45862,,45866
45852,45912,800,46712,-60,10,0,45881,45865,45860,,45861
45879,45912,800,46712,-33,10,0,45881,45861,45862,,45861
45889,45912,800,46712,-23,10,0,45889,45856,45865,,45863
45895,45912,800,46712,-17,10,0,45889,45878,45868,,45866
45919,45912,800,46712,7,10,0,45889,45895,45874,,45871
45853,45912,800,46712,-59,10,0,45889,45889,45871,,45872
45867,45912,800,46712,-45,10,0,45879,45883,45870,,45870
45894,45912,800,46712,-18,10,0,45879,45883,45873,,45871
45956,45912,800,46712,44,10,0,45889,45892,45883,,45878
45907,45912,800,46712,-5,10,0,45894,45906,45886,,45884
45893,45912,800,46712,-19,10,0,45894,45912,45886,,45886
45913,45912,800,46712,1,10,0,45895,45917,45889,,45887
45947,45912,800,46712,35,10,0,45907,45915,45896,,45892
45971,45912,800,46712,59,10,0,45907,45931,45905,,45900
45911,45912,800,46712,-1,10,0,45911,45935,45905,,45905
45889,45912,800,46712,-23,10,0,45911,45929,45903,,45904
45939,45912,800,46712,27,10,0,45913,45927,45907,,45905
45892,45912,800,46712,-20,10,0,45911,45907,45905,,45906
45928,45912,800,46712,16,10,0,45913,45912,45907,,45906
45926,45912,800,46712,14,10,0,45926,45921,45909,,45908
45942,45912,800,46712,30,10,0,45928,45922,45913,,45911
45867,45912,800,46712,-45,10,0,45926,45915,45907,,45910
45857,45912,800,46712,-55,10,0,45911,45898,45900,,45903
45919,45912,800,46712,7,10,0,45919,45896,45902,,45901
45784,45912,800,46712,-128,10,0,45919,45856,45887,,45894
45822,45912,800,46712,-90,10,0,45892,45845,45878,,45882
45901,45912,800,46712,-11,10,0,45901,45856,45880,,45879
45937,45912,800,46712,25,10,0,45901,45861,45887,,45883
45898,45912,800,46712,-14,10,0,45898,45889,45888,,45887
45934,45912,800,46712,22,10,0,45898,45917,45893,,45890
45882,45912,800,46712,-30,10,0,45898,45912,45891,,45892
45893,45912,800,46712,-19,10,0,45898,45901,45891,,45891
45912,45912,800,46712,0,10,0,45898,45905,45893,,45892
45954,45912,800,46712,42,10,0,45901,45910,45900,,45896
45904,45912,800,46712,-8,10,0,45904,45915,45900,,45900
45879,45912,800,46712,-33,10,0,45904,45912,45897,,45898
45930,45912,800,46712,18,10,0,45904,45916,45901,,45899
45738,45912,800,46712,-174,10,0,45904,45862,45880,,45890
45842,45912,800,46712,-70,10,0,45893,45847,45875,,45877
45879,45912,800,46712,-33,10,0,45893,45847,45875,,45875
45915,45912,800,46712,3,10,0,45904,45843,45880,,45877
45873,45912,800,46712,-39,10,0,45879,45877,45879,,45879
45917,45912,800,46712,5,10,0,45879,45896,45883,,45881
45926,45912,800,46712,14,10,0,45879,45907,45888,,45885
45972,45912,800,46712,60,10,0,45915,45922,45898,,45893
45987,45912,800,46712,75,10,0,45915,45950,45909,,45903
45911,45912,800,46712,-1,10,0,45915,45949,45909,,45909
