2024-04-16T17:44:37
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
46115,46188,800,-73,10,0,-,-,-,-,-,-,-,-
46133,46188,800,-55,10,0,-,-,-,-,-,-,-,-
46173,46188,800,-15,10,0,-,-,-,-,-,-,-,-
46205,46188,800,17,10,0,-,-,-,-,-,-,-,-
46194,46188,800,6,10,0,-,-,-,-,-,-,-,-
46186,46188,800,-2,10,0,-,-,-,-,-,-,-,-
46203,46188,800,15,10,0,-,-,-,-,-,-,-,-
46198,46188,800,10,10,0,-,-,-,-,-,-,-,-
46175,46188,800,-13,10,0,-,-,-,-,-,-,-,-
46155,46188,800,-33,10,0,-,-,-,-,-,-,-,-
46138,46188,800,-50,10,0,-,-,-,-,-,-,-,-
46288,46188,800,100,10,0,-,-,-,-,-,-,-,-
46241,46188,800,53,10,0,-,-,-,-,-,-,-,-
46229,46188,800,41,10,0,-,-,-,-,-,-,-,-
46210,46188,800,22,10,0,-,-,-,-,-,-,-,-
46185,46188,800,-3,10,0,-,-,-,-,-,-,-,-
46182,46188,800,-6,10,0,-,-,-,-,-,-,-,-
46161,46188,800,-27,10,0,-,-,-,-,-,-,-,-
46150,46188,800,-38,10,0,-,-,-,-,-,-,-,-
46158,46188,800,-30,10,0,-,-,-,-,-,-,-,-
46192,46188,800,4,10,0,-,-,-,-,-,-,-,-
46177,46188,800,-11,10,0,-,-,-,-,-,-,-,-
46171,46188,800,-17,10,0,-,-,-,-,-,-,-,-
46176,46188,800,-12,10,0,-,-,-,-,-,-,-,-
46222,46188,800,34,10,0,-,-,-,-,-,-,-,-
46228,46188,800,40,10,0,-,-,-,-,-,-,-,-
46203,46188,800,15,10,0,-,-,-,-,-,-,-,-
46179,46188,800,-9,10,0,-,-,-,-,-,-,-,-
46147,46188,800,-41,10,0,-,-,-,-,-,-,-,-
46133,46188,800,-55,10,0,-,-,-,-,-,-,-,-
46120,46188,800,-68,10,0,-,-,-,-,-,-,-,-
46145,46188,800,-43,10,0,-,-,-,-,-,-,-,-
46131,46188,800,-57,10,0,-,-,-,-,-,-,-,-
46140,46188,800,-48,10,0,-,-,-,-,-,-,-,-
46152,46188,800,-36,10,0,-,-,-,-,-,-,-,-
46129,46188,800,-59,10,0,-,-,-,-,-,-,-,-
46104,46188,800,-84,10,0,-,-,-,-,-,-,-,-
46192,46165,800,27,10,0,-,-,-,-,-,-,-,-
46171,46165,800,6,10,0,-,-,-,-,-,-,-,-
46191,46165,800,26,10,0,-,-,-,-,-,-,-,-
46181,46165,800,16,10,0,-,-,-,-,-,-,-,-
46148,46165,800,-17,10,0,-,-,-,-,-,-,-,-
46120,46165,800,-45,10,0,-,-,-,-,-,-,-,-
46125,46165,800,-40,10,0,-,-,-,-,-,-,-,-
46131,46165,800,-34,10,0,-,-,-,-,-,-,-,-
46126,46165,800,-39,10,0,-,-,-,-,-,-,-,-
46160,46165,800,-5,10,0,-,-,-,-,-,-,-,-
46194,46165,800,29,10,0,-,-,-,-,-,-,-,-
46204,46165,800,39,10,0,-,-,-,-,-,-,-,-
46223,46165,800,58,10,0,-,-,-,-,-,-,-,-
46209,46165,800,44,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46229,46165,800,64,10,0,-,-,-,-,-,-,-,-
46224,46165,800,59,10,0,-,-,-,-,-,-,-,-
46198,46165,800,33,10,0,-,-,-,-,-,-,-,-
46181,46165,800,16,10,0,-,-,-,-,-,-,-,-
46189,46165,800,24,10,0,-,-,-,-,-,-,-,-
46179,46165,800,14,10,0,-,-,-,-,-,-,-,-
46212,46165,800,47,10,0,-,-,-,-,-,-,-,-
46221,46165,800,56,10,0,-,-,-,-,-,-,-,-
46188,46165,800,23,10,0,-,-,-,-,-,-,-,-
46237,46165,800,72,10,0,-,-,-,-,-,-,-,-
46232,46165,800,67,10,0,-,-,-,-,-,-,-,-
46230,46165,800,65,10,0,-,-,-,-,-,-,-,-
46227,46165,800,62,10,0,-,-,-,-,-,-,-,-
46229,46165,800,64,10,0,-,-,-,-,-,-,-,-
46217,46165,800,52,10,0,-,-,-,-,-,-,-,-
46235,46165,800,70,10,0,-,-,-,-,-,-,-,-
